1: 1 2 3 4 5 6 1 
2: 1 2 3 7 8 9 1 
3: 1 4 5 7 8 10 1 
4: 1 4 6 7 9 11 1 
5: 1 2 6 8 10 11 1 
6: 1 3 5 9 10 11 1 
7: 1 5 6 8 9 12 1 
8: 1 3 6 7 10 12 1 
9: 1 2 4 9 10 12 1 
10: 1 2 5 7 11 12 1 
11: 1 3 4 8 11 12 1 
12: 1 2 4 7 13 14 1 
13: 1 3 5 8 13 14 1 
14: 1 6 9 10 13 14 1 
15: 1 5 6 7 13 15 1 
16: 1 3 4 9 13 15 1 
17: 1 2 8 12 13 15 1 
18: 1 4 6 8 14 15 1 
19: 1 2 5 9 14 15 1 
20: 1 3 7 11 14 15 1 
21: 1 2 3 10 13 16 1 
22: 1 4 5 11 13 16 1 
23: 1 7 9 12 13 16 1 
24: 1 8 9 11 14 16 1 
25: 1 2 6 12 14 16 1 
26: 1 3 5 12 15 16 1 
27: 1 3 6 11 13 17 1 
28: 1 5 10 12 13 17 1 
29: 1 3 4 10 14 17 1 
30: 1 7 8 12 14 17 1 
31: 1 2 7 10 15 17 1 
32: 1 5 8 11 15 17 1 
33: 1 2 4 8 16 17 1 
34: 1 6 9 15 16 17 1 
35: 1 7 8 11 13 18 1 
36: 1 4 6 12 13 18 1 
37: 1 5 6 11 14 18 1 
38: 1 3 9 12 14 18 1 
39: 1 3 8 10 15 18 1 
40: 1 2 4 11 15 18 1 
41: 1 3 4 7 16 18 1 
42: 1 10 11 12 16 18 1 
43: 1 13 14 15 16 18 1 
44: 1 4 5 9 17 18 1 
45: 1 2 9 11 13 19 1 
46: 1 4 5 12 14 19 1 
47: 1 6 11 12 15 19 1 
48: 1 3 6 8 16 19 1 
49: 1 7 10 14 16 19 1 
50: 1 3 5 7 17 19 1 
51: 1 8 9 10 17 19 1 
52: 1 2 6 7 18 19 1 
53: 1 11 12 13 14 20 1 
54: 1 4 7 12 15 20 1 
55: 1 4 6 10 16 20 1 
56: 1 2 3 12 17 20 1 
57: 1 7 11 16 17 20 1 
58: 1 2 5 8 18 20 1 
59: 1 7 9 10 18 20 1 
60: 1 4 8 13 19 20 1 
61: 1 5 10 15 19 20 1 
62: 1 6 14 17 19 20 1 
63: 1 3 11 18 19 20 1 
64: 1 10 11 13 15 21 1 
65: 1 7 8 15 16 21 1 
66: 1 9 11 12 17 21 1 
67: 1 5 14 16 17 21 1 
68: 1 2 10 14 18 21 1 
69: 1 6 8 17 18 21 1 
70: 1 3 12 13 19 21 1 
71: 1 4 9 16 19 21 1 
72: 1 2 6 9 20 21 1 
73: 1 8 10 12 20 21 1 
74: 1 10 12 14 15 22 1 
75: 1 2 11 14 17 22 1 
76: 1 2 9 16 18 22 1 
77: 1 4 10 11 19 22 1 
78: 1 2 3 15 19 22 1 
79: 1 12 16 17 19 22 1 
80: 1 5 13 18 19 22 1 
81: 1 6 7 8 20 22 1 
82: 1 4 9 14 20 22 1 
83: 1 13 15 17 20 22 1 
84: 1 5 7 9 21 22 1 
85: 1 3 6 14 21 22 1 
86: 1 2 13 17 18 23 1 
87: 1 2 8 14 19 23 1 
88: 1 7 9 15 19 23 1 
89: 1 3 7 13 20 23 1 
90: 1 5 9 16 20 23 1 
91: 1 6 15 18 20 23 1 
92: 1 5 6 10 21 23 1 
93: 1 2 3 11 21 23 1 
94: 1 8 9 13 21 23 1 
95: 1 4 7 17 21 23 1 
96: 1 4 5 15 22 23 1 
97: 1 8 10 16 22 23 1 
98: 1 3 9 17 22 23 1 
99: 1 7 12 18 22 23 1 
100: 1 19 20 21 22 23 1 
101: 1 12 15 17 18 24 1 
102: 1 2 5 16 19 24 1 
103: 1 5 7 14 20 24 1 
104: 1 8 9 15 20 24 1 
105: 1 4 11 14 21 24 1 
106: 1 6 13 16 21 24 1 
107: 1 3 5 18 21 24 1 
108: 1 7 10 13 22 24 1 
109: 1 3 11 16 22 24 1 
110: 1 4 6 17 22 24 1 
111: 1 8 14 18 22 24 1 
112: 1 2 12 21 22 24 1 
113: 1 4 12 16 23 24 1 
114: 1 10 11 17 23 24 1 
115: 1 4 15 17 19 25 1 
116: 1 8 12 18 19 25 1 
117: 1 3 14 16 20 25 1 
118: 1 2 5 13 21 25 1 
119: 1 9 15 18 21 25 1 
120: 1 7 11 19 21 25 1 
